"[1.3865460453269467, 1.706375103307346, 1.706375103307346]","1 vs 2 stars"
"[1.59229211250301, 1.706375103307346, 2.429531679123016]","BPS Models"
"[1.3865460453269467, 1.706375103307346, 2.429531679123016]","Stellar Distribution"
"[1.0489593055492512, 1.706375103307346, 1.9302144056294823]","CE Models"
"[1.569830239439969, 1.706375103307346, 1.706375103307346]","BH/NS Criterion"
"[1.147665367927925, 1.706375103307346, 3.2690249794965993]","Max NS Mass"
"[1.5327175908222863, 1.706375103307346, 1.8222720890063038]","Spectral Pinching"
"[1.3383777129070993, 1.706375103307346, 1.706375103307346]","Flavor Conversions"
"[1.1312139542642206, 1.706375103307346, 3.28090263424268]","SFR uncertainty"
"[0.7770016424863659, 1.706375103307346, 5.870227306562492]","Global"
