"[8.468403817034982, 10.550125036321027, 10.550125036321027]","1 vs 2 stars"
"[9.590258393620035, 10.550125036321027, 13.957882787468321]","BPS Models"
"[8.468403817034982, 10.550125036321027, 13.957882787468321]","Stellar Distribution"
"[8.327162064275495, 10.550125036321027, 11.557785283804954]","CE Models"
"[10.06882858355618, 10.550125036321027, 10.550125036321027]","BH/NS Criterion"
"[8.148667443331112, 10.550125036321027, 15.800470741174298]","Max NS Mass"
"[10.530640739317805, 10.550125036321027, 10.546919163155383]","Spectral Pinching"
"[8.098725891177075, 10.550125036321027, 10.550125036321027]","Flavor Conversions"
"[6.994035858344962, 10.550125036321027, 20.285066839152524]","SFR uncertainty"
"[5.4979428431302875, 10.550125036321027, 29.09688026240048]","Global"
