Enu(MeV) sigma(10^-41cm^2) Ee+(MeV)
1.806 0 −
2.01 0.00351 0.719
2.25 0.00735 0.952
2.51 0.0127 1.21 
2.80 0.0202 1.50
3.12 0.0304 1.82
3.48 0.0440 2.18
3.89 0.0619 2.58
4.33 0.0854 3.03
4.84 0.116 3.52
5.40 0.155 4.08
6.02 0.205 4.69
6.72 0.269 5.38
7.49 0.349 6.15
8.36 0.451 7.00
8.83 0.511 7.46
9.85 0.654 8.47
11.0 0.832 9.58
12.3 1.05 10.8
13.7 1.33 12.2
15.3 1.67 13.7
17.0 2.09 15.5
19.0 2.61 17.4
21.2 3.24 19.5
23.6 4.01 21.8
26.4 4.95 24.4
29.4 6.08 27.3
32.8 7.44 30.5
36.6 9.08 34.1
40.9 11.0 38.0
43.2 12.1 40.2
48.2 14.7 44.8
53.7 17.6 49.9
59.9 21.0 55.6
66.9 25.0 61.8
74.6 29.6 68.8
83.2 34.8 76.5
92.9 40.7 85.0
104. 47.3 94.5
116. 54.6 105.
129. 62.7 117.
144. 71.5 130.
160. 81.0 144.
179. 91.3 161.
200. 102. 179.
